Method,Arrangement,Chunk,CS Load,Total,Total Train,Total Test
DeltaSherlock,0,0,164.62,212.32,42.419999999999995,5.28
DeltaSherlock,0,1,445.58,573.17,112.72,14.87
DeltaSherlock,0,2,660.5,857.59,174.03,23.060000000000002
DeltaSherlock,0,3,849.37,1102.6,221.62,31.599999999999998
DeltaSherlock,1,0,160.22,207.14,41.38,5.54
DeltaSherlock,1,1,438.39,560.23,105.87,15.95
DeltaSherlock,1,2,657.03,846.71,164.43,25.25
DeltaSherlock,1,3,850.03,1092.18,208.03,34.12
DeltaSherlock,2,0,161.55,204.43,36.49999999999999,6.380000000000001
DeltaSherlock,2,1,440.97,562.0,105.55,15.48
DeltaSherlock,2,2,657.71,849.97,167.37,24.88
DeltaSherlock,2,3,844.05,1084.93,207.12,33.760000000000005
Praxi - Incremental,0,0,0.0,0,39,18
Praxi - Incremental,0,1,0.0,0,73,32
Praxi - Incremental,0,2,0.0,0,60,25
Praxi - Incremental,0,3,0.0,0,51,21
Praxi - Incremental,1,0,0.0,0,37,18
Praxi - Incremental,1,1,0.0,0,73,34.4
Praxi - Incremental,1,2,0.0,0,57,27.6
Praxi - Incremental,1,3,0.0,0,47,24.8
Praxi - Incremental,2,0,0.0,0,49.4,15
Praxi - Incremental,2,1,0.0,0,79.9,39.2
Praxi - Incremental,2,2,0.0,0,52.5,31.9
Praxi - Incremental,2,3,0.0,0,45.9,26.7
Praxi,0,0,0.0,0,39.5,17.9
Praxi,0,1,0.0,0,74.1,33
Praxi,0,2,0.0,0,63,25.9
Praxi,0,3,0.0,0,58.44,23.2
Praxi,1,0,0.0,0,36.1,18.7
Praxi,1,1,0.0,0,73.3,33.8
Praxi,1,2,0.0,0,61.2,28.8
Praxi,1,3,0.0,0,54.5,27.3
Praxi,2,0,0.0,0,40,15
Praxi,2,1,0.0,0,67.8,39.6
Praxi,2,2,0.0,0,57.2,33.2
Praxi,2,3,0.0,0,52.1,28.7
